City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
155,ardestan,33.3761,52.3694,17.57,30,100,0.5,IR,1699850568
156,zuni pueblo,35.0725,-108.8506,-1.65,33,0,5.01,US,1699850568
157,zouerate,22.7187,-12.4521,20.56,15,5,3.1,MR,1699850568
158,acapulco de juarez,16.8634,-99.8901,28.9,84,0,1.03,MX,1699850508
159,vilyuchinsk,52.9306,158.4028,-0.85,77,50,1.72,RU,1699850568
160,brajarajnagar,21.8167,83.9167,27.16,51,93,2.66,IN,1699850568
161,ilulissat,69.2167,-51.1,-12.99,61,29,1.54,GL,1699850569
162,bamboo flat,11.7,92.7167,27.05,83,75,2.57,IN,1699850569
163,katsuura,35.1333,140.3,11.78,59,88,6.18,JP,1699850569
164,al fuwayliq,26.4432,43.2534,22.05,32,100,3.26,SA,1699850569
165,verkhovazh'ye,60.7472,42.0465,0.08,97,100,5.01,RU,1699850569
166,barcelos,41.5388,-8.6151,18.08,96,100,4.52,PT,1699850306
167,rio gallegos,-51.6226,-69.2181,10.03,50,100,2.57,AR,1699850569
168,ratnagiri,16.9833,73.3,31.26,50,43,3.34,IN,1699850570
169,sitka,57.0531,-135.33,1.94,80,0,2.06,US,1699850570
170,darwin,-12.4611,130.8418,33.27,58,32,0.89,AU,1699850462
171,ust-nera,64.5667,143.2,-25.82,99,99,1.31,RU,1699850570
172,la ronge,55.1001,-105.2842,-0.86,80,40,2.06,CA,1699850570
173,east london,-33.0153,27.9116,15.52,72,20,3.09,ZA,1699850570
174,tolanaro,-25.0319,46.9987,24.04,64,0,1.03,MG,1699850570
175,champerico,14.3,-91.9167,27.0,81,10,2.3,GT,1699850570
176,khorixas,-20.3667,14.9667,24.42,17,8,0.7,NA,1699850571
177,torghay,49.6339,63.4981,5.59,80,8,1.64,KZ,1699850571
178,santa maria,-29.6842,-53.8069,20.0,99,84,3.89,BR,1699850058
179,aasiaat,68.7098,-52.8699,-15.13,91,18,2.82,GL,1699850571
180,nova sintra,14.8667,-24.7167,23.14,68,60,4.19,CV,1699850571
181,caxito,-8.5785,13.6643,24.71,93,100,1.4,AO,1699850571
182,dudinka,69.4058,86.1778,-4.1,95,100,4.82,RU,1699850571
183,ulanhot,46.0833,122.0833,5.17,32,1,4.74,CN,1699850571
184,hamilton,39.1834,-84.5333,7.77,74,0,1.54,US,1699850572
185,santo antonio,-6.3106,-35.4789,21.48,87,3,2.69,BR,1699850572
186,fale old settlement,-9.3852,-171.2468,29.44,68,50,1.58,TK,1699850572
187,carnarvon,-24.8667,113.6333,23.81,62,29,5.9,AU,1699850572
188,ust-tsilma,65.441,52.1498,-5.22,95,98,1.34,RU,1699850572
189,sao jose da coroa grande,-8.8978,-35.1478,23.29,80,13,1.48,BR,1699850572
190,battagram,34.6772,73.0233,19.2,31,0,1.24,PK,1699850572
191,ihosy,-22.4,46.1167,26.48,37,0,0.64,MG,1699850572
192,uturoa,-16.7333,-151.4333,27.31,77,72,1.41,PF,1699850573
193,lebu,-37.6167,-73.65,7.65,75,1,6.12,CL,1699850573
194,kenora,49.8167,-94.4337,2.54,87,20,6.71,CA,1699850573
195,rio preto da eva,-2.6994,-59.6997,26.14,71,27,1.22,BR,1699850573
196,dakhla,23.6848,-15.958,21.79,47,34,3.79,EH,1699850573
197,eydhafushi,5.1033,73.0708,27.83,73,56,1.92,MV,1699850573
198,mogocha,53.7333,119.7667,-3.81,35,17,0.71,RU,1699850573
199,ar rahad,12.7167,30.65,29.03,31,53,2.56,SD,1699850574
200,polyarnyy,69.1989,33.4478,-9.69,95,94,4.16,RU,1699850574
201,mokhsogollokh,61.4681,128.9203,-13.76,87,100,3.55,RU,1699850574
202,mafinga,-7.25,35.0667,22.66,66,97,1.74,TZ,1699850574
203,taoudenni,22.6783,-3.9836,23.38,23,5,5.1,ML,1699850574
204,alofi,-19.0595,-169.9187,23.94,88,100,5.66,NU,1699850574
205,waddan,29.1614,16.139,16.94,81,0,1.01,LY,1699850574
206,brasileia,-11.0161,-68.7481,25.74,70,6,1.13,BR,1699850575
207,tanjung pandan,-2.75,107.65,31.42,59,50,2.15,ID,1699850575
208,puerto yuca,2.9383,-73.2083,22.94,97,31,1.48,CO,1699850575
209,funehikimachi-funehiki,37.4333,140.5833,7.64,85,85,3.64,JP,1699850575
210,qaqortoq,60.7167,-46.0333,-9.17,91,23,1.12,GL,1699850575
211,leh,34.1667,77.5833,3.13,36,69,1.81,IN,1699850575
212,banjarmasin,-3.3244,114.591,31.08,55,97,2.6,ID,1699850575
213,laguna,38.421,-121.4238,16.05,67,0,2.57,US,1699850575
214,ad darb,17.7229,42.2526,28.95,69,4,2.29,SA,1699850576
215,yuncheng,35.0231,110.9928,10.21,29,20,2.31,CN,1699850576
216,komotini,41.1228,25.3964,11.14,85,100,0.89,GR,1699850576
217,ain taya,36.7933,3.2869,9.91,81,0,0.0,DZ,1699850576
218,thal,35.4791,72.2439,11.97,36,0,1.36,PK,1699850576
219,kone,-21.0595,164.8658,24.63,53,63,5.0,NC,1699850576
220,barinitas,8.7622,-70.4111,22.9,80,92,1.82,VE,1699850576
221,kismayo,-0.3582,42.5454,28.11,75,72,3.08,SO,1699850577
222,khanty-mansiysk,61.0042,69.0019,-2.94,86,40,2.0,RU,1699850577
223,san patricio,28.017,-97.5169,17.05,97,100,4.65,US,1699850577
224,douglas,41.3,-96.167,11.9,58,0,3.09,US,1699850569
225,gonzales,30.2385,-90.9201,20.11,85,100,2.57,US,1699850312
226,ciudad lazaro cardenas,17.9583,-102.2,25.74,86,59,1.45,MX,1699850577
227,puerto baquerizo moreno,-0.9,-89.6,23.71,82,85,5.68,EC,1699850552
228,taro,-8.3862,115.28,26.59,55,43,2.64,ID,1699850577
229,piste,20.7,-88.5833,21.79,97,7,1.31,MX,1699850577
